match_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_inside_box,shots_outside_box,fouls,corner_kicks,offsides,ball_possession_pct,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct,expected_goals,goals_prevented,espn_top_xg,espn_keeper_xg_conceded,espn_top_duels_won,espn_top_big_chances_created,espn_top_big_chances_missed,fotmob_expected_goals,fotmob_expected_goals_conceded,fotmob_expected_goals_non_penalty,fotmob_expected_goals_on_target,fotmob_big_chances,fotmob_big_chances_conceded,fotmob_big_chances_missed,fotmob_total_shots,fotmob_shots_on_target,fotmob_shots_inside_box,fotmob_touches_opp_box,fotmob_detail_coverage,fotmob_goal_xg_delta,fotmob_xgot_xg_delta,fotmob_xg_per_shot,fotmob_big_chance_rate,fotmob_big_chance_conversion,fotmob_chance_waste_rate,fotmob_underlying_threat,fotmob_finishing_signal,fotmob_waste_signal,fotmob_low_possession_punch,fotmob_sterile_control_risk,fotmob_defensive_resistance,fotmob_chance_control_signal,fotmob_unrewarded_pressure,fotmob_clinical_chance_signal,source,notes
537337,Switzerland,4,,6,1,,,19,2,1,55.3,1,0,6,443,369,80,,,0.20,1.66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760463,ESPN summary API used to fill blank fields.
537338,Bosnia-Herzegovina,5,,14,5,,,9,5,1,54.4,1,0,2,515,452,90,,,0.12,0.77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760462,ESPN summary API used to fill blank fields.
537338,Qatar,3,,9,0,,,14,5,3,45.6,1,0,3,434,371,90,,,0.22,0.68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760462,ESPN summary API used to fill blank fields.
537339,Brazil,5,,12,3,,,16,6,1,51.4,2,0,2,514,449,90,,,0.15,1.37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93086; ESPN event 760419,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537339,Morocco,3,,14,6,,,14,2,0,48.6,0,0,4,486,419,90,,,0.22,1.26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93086; ESPN event 760419,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537340,Haiti,2,,15,4,,,23,4,1,53.7,1,0,1,431,367,90,,,0.65,1.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93085; ESPN event 760418,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537340,Scotland,2,,9,2,,,21,3,3,46.3,3,0,2,374,307,80,,,0.16,1.05,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93085; ESPN event 760418,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537341,Brazil,5,,8,1,,,13,4,8,56.7,1,0,3,525,462,90,,,0.37,0.24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760444,ESPN summary API used to fill blank fields.
537341,Haiti,3,,7,1,,,14,4,4,43.3,3,0,2,399,332,80,,,0.08,1.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760444,ESPN summary API used to fill blank fields.
537342,Morocco,2,,12,4,,,8,5,0,58.9,1,0,0,670,600,90,,,0.32,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760445,ESPN summary API used to fill blank fields.
